package,package_url,version,identity,identity_url,title,status,fmm,wg,date,realm,auth
hl7.fhir.us.pq-cmc-fda,https://build.fhir.org/ig/HL7/FHIR-us-pq-cmc-fda/,R5,StructureDefinition/pqcmc-component,/xig/resource/hl7.fhir.us.pq-cmc-fda%7Ccurrent/StructureDefinition/pqcmc-component,Drug Product Component,trial-use,2,brr,NA,us,hl7
hl7.fhir.us.pq-cmc-fda,https://build.fhir.org/ig/HL7/FHIR-us-pq-cmc-fda/,R5,StructureDefinition/pqcmc-dp-ingredient,/xig/resource/hl7.fhir.us.pq-cmc-fda%7Ccurrent/StructureDefinition/pqcmc-dp-ingredient,Drug Product Batch Formula Ingredient,trial-use,2,brr,NA,us,hl7
hl7.fhir.uv.pharm-quality,https://build.fhir.org/ig/HL7/uv-dx-pq/,R5,StructureDefinition/Ingredient-drug-pq,/xig/resource/hl7.fhir.uv.pharm-quality%7Ccurrent/StructureDefinition/Ingredient-drug-pq,Ingredient - Drug Pq,active,NA,brr,NA,uv,hl7
idmp.who-umc.org.fhir,https://build.fhir.org/ig/Uppsala-Monitoring-Centre/WHO-UMC-IDMP-Service/,R5,StructureDefinition/Ingredient-who-php-publish,/xig/resource/idmp.who-umc.org.fhir%7Ccurrent/StructureDefinition/Ingredient-who-php-publish,Ingredient (WHO PhP publish),active,NA,NA,NA,uv,NA
idmp.who-umc.org.fhir,https://build.fhir.org/ig/Uppsala-Monitoring-Centre/WHO-UMC-IDMP-Service/,R5,StructureDefinition/Ingredient-who-php,/xig/resource/idmp.who-umc.org.fhir%7Ccurrent/StructureDefinition/Ingredient-who-php,Ingredient (WHO PhP),active,NA,NA,NA,uv,NA
hl7.fhir.us.ndh,https://build.fhir.org/ig/HL7/fhir-us-ndh/,R4,StructureDefinition/ndh-InsurancePlan,/xig/resource/hl7.fhir.us.ndh%7Ccurrent/StructureDefinition/ndh-InsurancePlan,NDH InsurancePlan Profile,trial-use,NA,pa,NA,us,hl7
hl7.fhir.us.directory-exchange,https://build.fhir.org/ig/HL7/fhir-directory-exchange/,R4,StructureDefinition/NatlDirEx-InsurancePlan,/xig/resource/hl7.fhir.us.directory-exchange%7Ccurrent/StructureDefinition/NatlDirEx-InsurancePlan,National Directory InsurancePlan,active,NA,NA,NA,us,hl7
hl7.fhir.us.directory-attestation,https://build.fhir.org/ig/HL7/fhir-directory-attestation/,R4,StructureDefinition/NatlDirAttest-InsurancePlan,/xig/resource/hl7.fhir.us.directory-attestation%7Ccurrent/StructureDefinition/NatlDirAttest-InsurancePlan,NatDir InsurancePlan,active,NA,NA,NA,us,hl7
hl7.fhir.us.directory-query,https://build.fhir.org/ig/HL7/fhir-directory-query/,R4,StructureDefinition/NatlDirEndpointQry-InsurancePlan,/xig/resource/hl7.fhir.us.directory-query%7Ccurrent/StructureDefinition/NatlDirEndpointQry-InsurancePlan,National Directory Endpoint Qry Exchange InsurancePlan,active,NA,NA,NA,us,hl7
hl7.fhir.us.davinci-pdex-plan-net,https://build.fhir.org/ig/HL7/davinci-pdex-plan-net/,R4,StructureDefinition/plannet-InsurancePlan,/xig/resource/hl7.fhir.us.davinci-pdex-plan-net%7Ccurrent/StructureDefinition/plannet-InsurancePlan,Plan-Net InsurancePlan,trial-use,NA,fm,NA,us,hl7
ndhm.in,https://nrces.in/ndhm/fhir/r4/6.5.0,R4,StructureDefinition/InsurancePlan,/xig/resource/ndhm.in%7C6.5.0/StructureDefinition/InsurancePlan,InsurancePlan,draft,NA,NA,NA,in,national
ihe.iti.fais,https://build.fhir.org/ig/IHE/ITI.Finance/,R4,StructureDefinition/IHE.FAIS.InsurancePlan,/xig/resource/ihe.iti.fais%7Ccurrent/StructureDefinition/IHE.FAIS.InsurancePlan,FAIS InsurancePlan Profile,active,NA,NA,NA,uv,ihe
hl7.fhir.us.davinci-drug-formulary,https://build.fhir.org/ig/HL7/davinci-pdex-formulary/,R4,StructureDefinition/usdf-Formulary,/xig/resource/hl7.fhir.us.davinci-drug-formulary%7Ccurrent/StructureDefinition/usdf-Formulary,Formulary,trial-use,NA,phx,NA,us,hl7
hl7.fhir.us.davinci-drug-formulary,https://build.fhir.org/ig/HL7/davinci-pdex-formulary/,R4,StructureDefinition/usdf-PayerInsurancePlan,/xig/resource/hl7.fhir.us.davinci-drug-formulary%7Ccurrent/StructureDefinition/usdf-PayerInsurancePlan,Payer Insurance Plan,trial-use,NA,phx,NA,us,hl7
hl7.fhir.uv.vhdir,https://build.fhir.org/ig/HL7/VhDir/,R4,StructureDefinition/vhdir-insuranceplan,/xig/resource/hl7.fhir.uv.vhdir%7Ccurrent/StructureDefinition/vhdir-insuranceplan,VhDir Insurance Plan,trial-use,2,pa,NA,uv,hl7
